Month,Name,Address,Date of Birth,Service Provider,Account Type,Billed Amount,Paid Amount
July,YFNIQCDTQW, Delhi,9/24/1989,Airtel,P,6155.98,2701.24
March,QOEORMGDAT, Kolkata,7/7/1995,Idea,C,5539.41,3110.41
October,XEOFGPIYZC, Chennai,8/23/1957,Vodafone,P,2844.71,2148.03
November,MKHAZJDSLP, Delhi,12/15/1994,Jio,C,5254.45,5187.47
November,AVJUQBHRZY, Delhi,7/28/1980,Airtel,C,3776.09,2146.34
May,FXAXGHOKND, Mumbai,11/17/1952,Jio,P,7450.29,3913.42
January,QDQLZXPBJE, Mumbai,1/3/1950,BSNL,C,2227.34,1925.4
September,IIWNKFDXQX, Mumbai,2/15/1965,Vodafone,P,9330.91,5240.69
November,IHXGPTIZID, Delhi,7/11/1965,Airtel,C,1396.84,1361.75
August,BAOIMCCRWJ, Delhi,9/7/1966,Airtel,P,1536.58,1512.99
April,ILDDNFSJYR, Chennai,12/13/1993,BSNL,C,6056.04,2920.98
March,KFACOUBWDR, Kolkata,12/15/1951,BSNL,C,5304.94,3407.15
September,RMCURYJYOP, Chennai,10/12/1983,BSNL,P,3445.88,3435.59
September,CZKMNLLVTM, Kolkata,10/6/1971,Idea,C,9209.46,8872.55
January,PBYODRIBYA, Chennai,9/5/2005,BSNL,C,8024.46,4349.16
April,WLYPWSVRMM, Chennai,4/21/1980,Jio,C,1607.04,1215.97
March,QJVLEZVYRO, Chennai,5/17/1978,Vodafone,P,3836.31,2690.4
March,ZHULHGIQYO, Delhi,9/24/1985,Airtel,P,8762.22,3293.1
June,CCDMOYDJZR, Mumbai,1/8/1958,BSNL,P,5902.12,2721.55
April,QSKZYSFLVH, Kolkata,10/5/1962,Airtel,C,3147.43,3127.82
January,IRQKCIOIMW, Delhi,7/24/1995,Jio,C,5902.97,1540.11
October,NUNVCKKNHG, Delhi,6/2/1981,Idea,C,1043.27,1014.94
July,KEDWPLXKCB, Delhi,9/21/1961,Airtel,P,7079.27,4217.35
December,KNTIPDWEWH, Mumbai,11/2/1971,BSNL,P,8919.11,1294.74
July,LUOFMBLAWE, Delhi,2/27/1974,Vodafone,C,1620.03,1190.65
December,BFNLLQHXDA, Mumbai,5/22/1966,Idea,C,7817.41,5623.88
July,BBXYGBWKNX, Bangalore,10/7/1989,Vodafone,P,6908.64,5558.1
June,KLKHDIDENN, Kolkata,11/14/1970,BSNL,P,4126.79,3547.26
September,GPIOOWTXVF, Delhi,2/2/1978,Airtel,C,5829.96,3018.98
July,XMHUSSUONO, Bangalore,6/18/1958,BSNL,C,2784.77,2063.64
December,YINYWGGVDI, Mumbai,11/11/1972,Airtel,P,9290.07,2692.99
June,MJCPNAGBRQ, Mumbai,2/21/1993,Airtel,C,1086.41,1077.26
December,FEBSSEOOHA, Delhi,1/20/1979,BSNL,C,2064.98,1902.29
October,LEYRLTHOLB, Bangalore,4/17/1973,Vodafone,P,1347.67,1091.02
January,DSOFUUEPXM, Bangalore,11/21/1980,Idea,C,5047.67,4863.85
September,RRCYRNJXDQ, Kolkata,6/8/1966,Vodafone,P,3762.9,2984.68
November,FLLNTGMVIK, Mumbai,4/3/1976,Jio,P,6093.56,3070.82
September,MQDYTPLPOI, Kolkata,10/20/1964,Jio,C,2899.02,2830.12
June,KUJJVFSOYK, Chennai,7/22/1950,Vodafone,P,6972.62,5914.56
January,SYXBWLHZXM, Bangalore,10/2/1973,BSNL,P,6709.65,4341.03
March,ZDIGABRMID, Mumbai,9/1/1968,Vodafone,C,1582.57,1484.38
March,BQKNSSAXIB, Kolkata,9/2/1978,Vodafone,P,6780.69,1201.96
April,HIZQMYHDFN, Chennai,1/2/1960,Airtel,P,1658.77,1315.83
September,ZGZEYPWBOM, Chennai,1/23/1950,BSNL,P,1241.57,1064.21
September,USMZJQLKKF, Chennai,12/10/1970,Airtel,P,1866.49,1416.77
April,AZUIMXWLQO, Kolkata,9/7/1984,BSNL,P,9224.55,6037.84
September,DIEZXJGFKP, Chennai,6/22/1996,Idea,C,4543.99,2702.19
November,PSECYVVDZA, Mumbai,12/10/1959,Airtel,C,9598.35,3314.47
November,DVPFUCJMIK, Delhi,6/15/1953,Airtel,C,3129.4,2695
November,OTEIYOFKXE, Delhi,3/23/1988,Vodafone,C,1597.61,1501.18
October,IMXZKWHUOE, Delhi,9/26/1998,Vodafone,P,3677.16,2025.5
May,BBZLJVXCWG, Bangalore,6/21/1977,Airtel,P,9833.37,2268.53
April,ZLFJQACZQZ, Delhi,4/4/1954,Jio,C,2952.11,1339.79
June,KFDZXOACIQ, Mumbai,9/10/2003,BSNL,P,8159.5,5151.11
October,JYEFNWSFVE, Chennai,2/21/1987,BSNL,P,8471.67,1156.33
October,UMBMAYZZRJ, Mumbai,10/2/1966,Idea,P,9348.47,8825.9
January,FBWWLZAEJL, Mumbai,4/1/1991,BSNL,C,9681.53,2722.73
June,LZDQYUAPXL, Bangalore,6/15/1976,Vodafone,P,4106.64,1805.5
November,ETMXLONWJF, Delhi,10/26/1987,Idea,C,8567.9,5298.1
